prot1	prot2	r
ATP5ME	NDUFA10	0.840167756806073
ATP5ME	NDUFA11	0.721456473713465
ATP5ME	NDUFA12	0.652470480697594
ATP5ME	NDUFA13	0.805494906302529
ATP5ME	NDUFB1	0.590801450518208
ATP5ME	NDUFB3	0.816938686314821
ATP5ME	NDUFB4	0.664833056020214
ATP5ME	NDUFB5	0.907727592666176
ATP5ME	NDUFB6	0.877804764779379
ATP5ME	NDUFB7	0.653580886434674
ATP5ME	NDUFB8	0.623201116954303
ATP5ME	NDUFB9	0.736792213261169
ATP5ME	NDUFB10	0.877197144024623
ATP5ME	NDUFB11	0.67905543380946
ATP5ME	NDUFC2	0.87552241205313
ATP5ME	NDUFAF4	0.79604975321512
ATP5ME	NDUFAF5	0.765314337435927
ATP5ME	NDUFAF6	0.843982400701259
ATP5ME	NDUFAF7	0.750697696617316
ATP5ME	NDUFS1	0.861834243206783
ATP5ME	NDUFS2	0.862709383825584
ATP5ME	NDUFS3	0.892735756082982
ATP5ME	NDUFS4	0.890345890303679
ATP5ME	NDUFS5	0.777198650851346
ATP5ME	NDUFS6	0.854216385243446
ATP5ME	NDUFS7	0.734117436821304
ATP5ME	NDUFS8	0.751770325337717
ATP5ME	NDUFV1	0.841578122237597
ATP5ME	NDUFV2	0.732170154963539
ATP5ME	MT-ND1	0.648518884130338
ATP5ME	MT-ND4	0.451076728325778
ATP5ME	MT-ND5	0.574428058274092
ATP5ME	NUBPL	0.738687472456353
ATP5ME	UQCRC1	0.9344798359532
ATP5ME	UQCRC2	0.918006950634731
ATP5ME	UQCRH	0.490245894945745
ATP5ME	UQCRB	0.932422097826925
ATP5ME	UQCRQ	0.776516572565587
ATP5ME	UQCR10	0.781409034198521
ATP5ME	SCO1	0.564506586541909
ATP5ME	SCO2	0.622739792180365
ATP5ME	SDHA	0.812819904682527
ATP5ME	SDHB	0.885608948313352
ATP5ME	SDHAF2	0.814663025037363
ATP5ME	SURF1	0.508924666416267
ATP5ME	TIMMDC1	0.645343880632137
ATP5ME	UQCRFS1	0.889748312545056
ATP5ME	UQCC1	0.753779239984142
ATP5ME	UQCC2	0.695078795820257
ATP5MG	ATP5F1A	0.923565589603129
ATP5MG	ATP5F1B	0.926929001081099
ATP5MG	ATP5F1D	0.886551293781841
ATP5MG	ATPAF1	0.804769432989539
ATP5MG	ATPAF2	0.783201221121508
ATP5MG	ATP5F1C	0.923799810427822
ATP5MG	ATP5MF	0.94605926311996
ATP5MG	ATP5PO	0.92897580513201
ATP5MG	BCS1L	0.819109634101426
ATP5MG	NDUFAF1	0.54346257516375
ATP5MG	COA3	0.723868465923093
ATP5MG	COA5	0.699609194341953
ATP5MG	COA6	0.723033897024795
ATP5MG	COA7	0.643365566500294
ATP5MG	MT-CO1	0.462177964959627
ATP5MG	COX11	0.554790860071259
ATP5MG	COX19	0.814488301831659
ATP5MG	MT-CO2	0.897436738422447
ATP5MG	COX20	0.610775709472006
ATP5MG	COX4I1	0.901389919768451
ATP5MG	COX6C	0.760678891901123
ATP5MG	COX7C	0.695120043249841
ATP5MG	COX7A2L	0.832861186009909
ATP5MG	COX6B1	0.415774115098339
ATP5MG	COX7A1	0.733081148130076
ATP5MG	CYC1	0.948628001013336
ATP5MG	ECSIT	0.584404133433421
ATP5MG	FOXRED1	0.645968633334022
ATP5MG	NDUFA2	0.819888164838126
ATP5MG	NDUFA3	0.888464607471308
ATP5MG	NDUFA5	0.888669418055738
ATP5MG	NDUFA6	0.853154192145773
ATP5MG	NDUFA7	0.82697540560793
ATP5MG	NDUFA8	0.545883348253031
ATP5MG	NDUFA9	0.876657291284298
ATP5MG	NDUFA10	0.827322711818596
ATP5MG	NDUFA11	0.771850266592962
ATP5MG	NDUFA12	0.65060637600981
ATP5MG	NDUFA13	0.796224556551375
ATP5MG	NDUFB1	0.479896423711779
ATP5MG	NDUFB3	0.908690246545474
ATP5MG	NDUFB4	0.645252275769046
ATP5MG	NDUFB5	0.909844579680213
ATP5MG	NDUFB6	0.881076653147825
ATP5MG	NDUFB7	0.707002156945081
ATP5MG	NDUFB8	0.610629355917599
ATP5MG	NDUFB9	0.736733834680318
ATP5MG	NDUFB10	0.944114301205364
ATP5MG	NDUFB11	0.637133269817348
ATP5MG	NDUFC2	0.868962965447925
ATP5MG	NDUFAF4	0.740802567337736
ATP5MG	NDUFAF5	0.660980963174895
ATP5MG	NDUFAF6	0.828378634638099
ATP5MG	NDUFAF7	0.728408675260445
ATP5MG	NDUFS1	0.874218412503781
ATP5MG	NDUFS2	0.859302463317703
ATP5MG	NDUFS3	0.924136383072029
ATP5MG	NDUFS4	0.930530842574068
ATP5MG	NDUFS5	0.825960541208162
ATP5MG	NDUFS6	0.912025371178756
ATP5MG	NDUFS7	0.695414621954239
ATP5MG	NDUFS8	0.728416698513749
ATP5MG	NDUFV1	0.849384075253425
ATP5MG	NDUFV2	0.711439959828711
ATP5MG	MT-ND1	0.697533282967708
ATP5MG	MT-ND4	0.523779995286766
ATP5MG	MT-ND5	0.543564112800168
ATP5MG	NUBPL	0.654178196379496
ATP5MG	UQCRC1	0.862433775475945
ATP5MG	UQCRC2	0.914462969206896
ATP5MG	UQCRH	0.392804557756794
ATP5MG	UQCRB	0.879073248831655
ATP5MG	UQCRQ	0.756086094056878
ATP5MG	UQCR10	0.640380007933375
ATP5MG	SCO1	0.577430446819494
ATP5MG	SCO2	0.619294190522205
ATP5MG	SDHA	0.839929872380791
ATP5MG	SDHB	0.890272545560236
ATP5MG	SDHAF2	0.681334612254378
ATP5MG	SURF1	0.563319881834566
ATP5MG	TIMMDC1	0.550136992203242
ATP5MG	UQCRFS1	0.772051788907006
ATP5MG	UQCC1	0.784913323833768
ATP5MG	UQCC2	0.636561816968051
ATP5F1A	ATP5F1B	0.994119225185006
ATP5F1A	ATP5F1D	0.968696351846228
ATP5F1A	ATPAF1	0.897821056881967
ATP5F1A	ATPAF2	0.870976899547585
ATP5F1A	ATP5F1C	0.980815896166838
ATP5F1A	ATP5MF	0.935865909580933
ATP5F1A	ATP5PO	0.962808371376119
ATP5F1A	BCS1L	0.820698322387662
ATP5F1A	COA3	0.741057195678633
ATP5F1A	COA5	0.730684697916102
ATP5F1A	COA6	0.790713376228224
ATP5F1A	COA7	0.623130885757508
ATP5F1A	MT-CO1	0.497345096396373
ATP5F1A	COX11	0.697663053922374
ATP5F1A	COX19	0.820107302084622
ATP5F1A	MT-CO2	0.937589599646305
ATP5F1A	COX20	0.66369898178543
ATP5F1A	COX4I1	0.890846844354312
