prot1	prot2	r
ATP5MG	NDUFA2	0.737138788621732
ATP5MG	NDUFA3	0.62347577796185
ATP5MG	NDUFA5	0.61683118701038
ATP5MG	NDUFA6	0.828015012116881
ATP5MG	NDUFA7	0.688064317972753
ATP5MG	NDUFA8	0.474504915750755
ATP5MG	NDUFA9	0.845272811210396
ATP5MG	NDUFA10	0.819864322419402
ATP5MG	NDUFA11	0.734912516471543
ATP5MG	NDUFA12	0.661181154335204
ATP5MG	NDUFA13	0.742154935492179
ATP5MG	NDUFB1	0.548689259837055
ATP5MG	NDUFB3	0.821705792371982
ATP5MG	NDUFB4	0.463514920788176
ATP5MG	NDUFB5	0.689642770307136
ATP5MG	NDUFB6	0.448075435524423
ATP5MG	NDUFB9	0.410827098693303
ATP5MG	NDUFB10	0.714850116964565
ATP5MG	NDUFB11	0.535832705300876
ATP5MG	NDUFAF4	0.766547982258989
ATP5MG	NDUFAF5	0.721376984733699
ATP5MG	NDUFAF6	0.768580330875512
ATP5MG	NDUFAF7	0.69953979006279
ATP5MG	NDUFS1	0.796520635867146
ATP5MG	NDUFS2	0.842161066133566
ATP5MG	NDUFS3	0.752985221428975
ATP5MG	NDUFS4	0.706677106227194
ATP5MG	NDUFS5	0.796432450579548
ATP5MG	NDUFS7	0.459229774471394
ATP5MG	NDUFS8	0.609257371504034
ATP5MG	NDUFV1	0.827411279140425
ATP5MG	NDUFV2	0.738667059687551
ATP5MG	MT-ND1	0.67538915135485
ATP5MG	MT-ND4	0.551911208526126
ATP5MG	MT-ND5	0.652184740729886
ATP5MG	NUBPL	0.431259718599978
ATP5MG	UQCRC1	0.869120760496474
ATP5MG	UQCRC2	0.865382933869052
ATP5MG	UQCRH	0.755790467466
ATP5MG	UQCRB	0.783592444785114
ATP5MG	UQCRQ	0.464432476876023
ATP5MG	UQCR10	0.68577588312383
ATP5MG	SDHA	0.505992685669447
ATP5MG	SDHB	0.857746227065358
ATP5MG	TIMMDC1	0.497269188103125
ATP5MG	UQCRFS1	0.824608704024683
ATP5MG	UQCC1	0.7195824070925
ATP5MG	UQCC2	0.61595208576473
ATP5F1A	ATP5F1B	0.978682887297132
ATP5F1A	ATP5F1D	0.757183455095456
ATP5F1A	ATPAF1	0.792169522552942
ATP5F1A	ATPAF2	0.829335575590438
ATP5F1A	ATP5F1C	0.967893954543543
ATP5F1A	ATP5MF	0.819126963094084
ATP5F1A	ATP5PO	0.913582664984392
ATP5F1A	BCS1L	0.585318660552391
ATP5F1A	SDHC	0.830358516777204
